"Идентификатор пользователя","Название приюта","Дата/время платежа","Наименование услуги","Сумма платежа"
27895,"Самарский приют для животных ""НадеждА""",2019-12-31 06:22:47, Новогодний КотоНабор,250
27895,"Самарский приют для животных ""НадеждА""",2019-12-31 06:22:47,"1 КотоДень",105
27895,"Самарский приют для животных ""НадеждА""",2019-12-31 06:22:47, Новогодний КотоНабор,250
27895,"Самарский приют для животных ""НадеждА""",2019-12-31 06:22:47,"1 КотоДень",105
27895,"Самарский приют для животных ""НадеждА""",2019-12-31 06:22:47, Новогодний КотоНабор,250
27895,"Самарский приют для животных ""НадеждА""",2019-12-31 06:22:47,"1 КотоДень",105
27895,"Самарский приют для животных ""НадеждА""",2019-12-31 06:22:47,"1 КотоДень",105
27895,"Самарский приют для животных ""НадеждА""",2019-12-31 06:22:47, Новогодний КотоНабор,250
27895,"Самарский приют для животных ""НадеждА""",2019-12-31 06:22:47,"1 КотоДень",105
27895,"Самарский приют для животных ""НадеждА""",2019-12-31 06:22:47, Новогодний КотоНабор,250
27895,"Самарский приют для животных ""НадеждА""",2019-12-31 06:22:47,"1 КотоДень",105
27895,Матроскин,2019-12-31 06:22:47,КотоДень,98
27895,"Кошачий приют ""ДОМИК""",2019-12-31 06:22:47, Новогодний КотоНабор,200
27895,"Кошачий приют ""ДОМИК""",2019-12-31 06:22:47,КотоДень,76
27895,"Кошачий приют ""ДОМИК""",2019-12-31 06:22:47, Новогодний КотоНабор,200
27895,"Кошачий приют ""ДОМИК""",2019-12-31 06:22:47,КотоДень,76
27895,"Кошачий приют ""ДОМИК""",2019-12-31 06:22:47,КотоДень,76
27895,"Кошачий приют ""ДОМИК""",2019-12-31 06:22:47, Новогодний КотоНабор,200
27895,"Кошачий приют ""ДОМИК""",2019-12-31 06:22:47,КотоДень,76
27895,"Кошачий приют ""ДОМИК""",2019-12-31 06:22:47, Новогодний КотоНабор,100
27895,"Кошачий приют ""ДОМИК""",2019-12-31 06:22:47, Новогодний КотоНабор,100
27895,ФлагманВет,2019-12-31 06:22:47,"1 КотоДень",97
27895,Люськин дом,2019-12-31 06:22:47,"1 КотоДень",97
27895,Люськин дом,2019-12-31 06:22:47, Новогодний КотоНабор,250
27895,Люськин дом,2019-12-31 06:22:47,"1 КотоДень",97
27895,Люськин дом,2019-12-31 06:22:47, Новогодний КотоНабор,250
27895,Кот и Пёс,2019-12-31 06:22:47,КотоДень,94
27895,Центральный приют Спб для бездомных кошек!,2019-12-31 06:22:47,"1 КотоДень",98
27895,Центральный приют Спб для бездомных кошек!,2019-12-31 06:22:47,"1 КотоДень",98
27895,Центральный приют Спб для бездомных кошек!,2019-12-31 06:22:47,"1 КотоДень",98
27895,Центральный приют Спб для бездомных кошек!,2019-12-31 06:22:47,"1 КотоДень",98
27895,Центральный приют Спб для бездомных кошек!,2019-12-31 06:22:47,"1 КотоДень",98
27895,Лёхин дом,2019-12-31 06:22:47,"1 КотоДень",116
27895,Лёхин дом,2019-12-31 06:22:47,Новогодний КотоНабор,180
27895,Лёхин дом,2019-12-31 06:22:47,Новогодний КотоНабор,100
27895,Лёхин дом,2019-12-31 06:22:47,"1 КотоДень",116
27895,Убежище,2019-12-31 06:22:47,"1 КотоДень",118
27895,Убежище,2019-12-31 06:22:47, Новогодний КотоНабор,200
27895,Убежище,2019-12-31 06:22:47,"1 КотоДень",118
27895,Котофей,2019-12-31 06:22:47,"1 КотоДень",87
27895,Котофей,2019-12-31 06:22:47, Новогодний КотоНабор,250
27895,Котофей,2019-12-31 06:22:47,"1 КотоДень",87
27895,Котофей,2019-12-31 06:22:47, Новогодний КотоНабор,250
27895,Котофей,2019-12-31 06:22:47,"1 КотоДень",87
27895,Котофей,2019-12-31 06:22:47, Новогодний КотоНабор,250
27895,Добрые сердца,2019-12-31 06:22:47,КотоДень,99
27895,Добрые сердца,2019-12-31 06:22:47,КотоДень,99
27895,Добрые сердца,2019-12-31 06:22:47,КотоДень,99
27895,Добрые сердца,2019-12-31 06:22:47, Новогодний КотоНабор,100
27895,Добрые сердца,2019-12-31 06:22:47,КотоДень,99
27895,Добрые сердца,2019-12-31 06:22:47,КотоДень,99
27895,Добрые сердца,2019-12-31 06:22:47,КотоДень,99
27895,Добрые сердца,2019-12-31 06:22:47, Новогодний КотоНабор,100
28590,Котофей,2019-12-31 08:59:49,"1 КотоДень",87
28590,Котофей,2019-12-31 08:59:49,Наполнитель для туалета,20
28590,Котофей,2019-12-31 08:59:49,Рекламировать питомца (пакет Standart),155
1810,"Кошачий приют ""ДОМИК""",2019-12-31 09:45:50,КотоДень,76
1810,Убежище,2019-12-31 09:45:50,"1 КотоДень",118
1810,Котофей,2019-12-31 09:48:59,"1 КотоДень",87
25598,"Самарский приют для животных ""НадеждА""",2019-12-31 10:17:29,Корм с курицей и рисом ,42
25598,Котофей,2019-12-31 10:17:29,Наполнитель для туалета,20
25598,"Приют для кошек ""Потеряшка""",2019-12-31 10:20:30,Порция вкуснейшего корма,39
28639,Убежище,2019-12-31 10:51:16, Новогодний КотоНабор,1050
28639,"Приют для кошек ""ЯрКот""",2019-12-31 10:54:04,"1 КотоДень",88
5908,Убежище,2019-12-31 10:54:51,Рекламировать питомца (пакет Mini),78
28943,"4 лапы",2019-12-31 10:57:08,ПёсоДень,155
27459,"Приют для кошек ""ЯрКот""",2019-12-31 11:16:55,Порция вкуснейшего корма,34
27286,"Самарский приют для животных ""НадеждА""",2019-12-31 11:29:03,Рекламировать питомца (пакет Mini),78
27286,"Самарский приют для животных ""НадеждА""",2019-12-31 11:29:03,Рекламировать питомца (пакет Mini),78
27286,"Самарский приют для животных ""НадеждА""",2019-12-31 11:29:03,Корм с курицей и рисом ,42
27286,"Самарский приют для животных ""НадеждА""",2019-12-31 11:29:03,Рекламировать питомца (пакет Standart),155
27286,"Кошачий приют ""ДОМИК""",2019-12-31 11:29:03,Рекламировать питомца (пакет Standart),155
27286,"Приют для кошек ""ЯрКот""",2019-12-31 11:29:03,"1 КотоДень",88
27286,Убежище,2019-12-31 11:29:03,"1 КотоДень",118
27286,Котофей,2019-12-31 11:29:03,Рекламировать питомца (пакет Mini),78
27286,Котофей,2019-12-31 11:29:03,Рекламировать питомца (пакет Mini),78
27286,Котофей,2019-12-31 11:29:03,"1 КотоДень",87
27286,Котофей,2019-12-31 11:29:03,Рекламировать питомца (пакет Mini),78
28611,Котофей,2019-12-31 12:35:12,"1 КотоДень",87
28746,Шереметьевский приют,2019-12-31 12:38:09,Порция вкуснейшего корма,140
28727,"Самарский приют для животных ""НадеждА""",2019-12-31 13:00:54, Новогодний КотоНабор,45
28727,"Самарский приют для животных ""НадеждА""",2019-12-31 13:03:56,Корм с курицей и рисом ,42
5042,Убежище,2019-12-31 13:27:54,"1 КотоДень",118
5042,"4 лапы",2019-12-31 13:27:54,ПёсоДень,155
5042,Кот и Пёс,2019-12-31 13:31:59,ПёсоДень,155
5042,"Приют для кошек ""ЯрКот""",2019-12-31 13:31:59,Порция вкуснейшего корма,34
27123,"Самарский приют для животных ""НадеждА""",2019-12-31 14:06:03,"1 КотоНеделя",870
27123,Лёхин дом,2019-12-31 14:06:03,"1 КотоДень",116
27123,Убежище,2019-12-31 14:06:03,"1 КотоДень",118
6059,"Приют для кошек ""ЯрКот""",2019-12-31 14:25:28,Порция вкуснейшего корма,34
6059,Шереметьевский приют,2019-12-31 14:25:28,Порция вкуснейшего корма,140
6059,Шереметьевский приют,2019-12-31 14:25:28,Порция вкуснейшего корма,140
6059,Шереметьевский приют,2019-12-31 14:25:28,Порция вкуснейшего корма,140
6059,Шереметьевский приют,2019-12-31 14:25:28,Новогодний ПёсоНабор,150
6059,"4 лапы",2019-12-31 14:25:28,ПёсоДень,155
28944,Убежище,2019-12-31 15:16:14,"1 КотоДень",118
24543,"Кошачий приют ""ДОМИК""",2019-12-31 17:58:51,КотоДень,76
24543,"Кошачий приют ""ДОМИК""",2019-12-31 17:58:51,Наполнитель для туалета,20
24543,Люськин дом,2019-12-31 17:58:51,"1 КотоДень",97
24543,Кот и Пёс,2019-12-31 17:58:51,КотоДень,94
24543,Лёхин дом,2019-12-31 17:58:51,"1 КотоДень",116
24543,Убежище,2019-12-31 17:58:51,"1 КотоДень",118
28477,"Кошачий приют ""ДОМИК""",2019-12-31 18:07:12,КотоДень,76
28477,Центральный приют Спб для бездомных кошек!,2019-12-31 18:07:12,"1 КотоДень",98
28477,"Приют для кошек ""ЯрКот""",2019-12-31 18:07:12,"1 КотоДень",88
28477,Убежище,2019-12-31 18:07:12,"1 КотоДень",118
28477,Убежище,2019-12-31 18:07:12,"1 КотоДень",118
28477,Убежище,2019-12-31 18:07:12,Рекламировать питомца (пакет Mini),78
28477,"Самарский приют для животных ""НадеждА""",2019-12-31 18:19:52,"1 КотоДень",105
28477,"Самарский приют для животных ""НадеждА""",2019-12-31 18:19:52,"1 КотоДень",105
28477,"Самарский приют для животных ""НадеждА""",2019-12-31 18:19:52,Рекламировать питомца (пакет Mini),78
28477,Матроскин,2019-12-31 18:19:52,КотоДень,98
28477,Матроскин,2019-12-31 18:19:52,Рекламировать питомца (пакет Mini),78
28477,Центральный приют Спб для бездомных кошек!,2019-12-31 18:19:52,"1 КотоДень",98
28477,Центральный приют Спб для бездомных кошек!,2019-12-31 18:19:52,Рекламировать питомца (пакет Mini),78
28477,Центральный приют Спб для бездомных кошек!,2019-12-31 18:19:52,"1 КотоДень",98
28477,Центральный приют Спб для бездомных кошек!,2019-12-31 18:19:52,"1 КотоДень",98
28477,Центральный приют Спб для бездомных кошек!,2019-12-31 18:19:52,"1 КотоДень",98
28477,Центральный приют Спб для бездомных кошек!,2019-12-31 18:19:52,"1 КотоДень",98
28477,Убежище,2019-12-31 18:19:52,"1 КотоДень",118
28477,Убежище,2019-12-31 18:19:52,Рекламировать питомца (пакет Mini),78
28941,"Самарский приют для животных ""НадеждА""",2019-12-31 18:44:45,"1 КотоДень",105
28941,Кот и Пёс,2019-12-31 18:44:45,КотоДень,94
28941,Кот и Пёс,2019-12-31 18:44:45,Наполнитель для туалета,20
28941,Шереметьевский приют,2019-12-31 18:44:45,ПёсоДень,295
26527,Убежище,2019-12-31 18:57:18,"1 КотоДень",118
28437,"Самарский приют для животных ""НадеждА""",2019-12-31 19:03:36,"1 КотоДень",105
28437,"Самарский приют для животных ""НадеждА""",2019-12-31 19:03:36,"1 КотоДень",105
24642,"Кошачий приют ""ДОМИК""",2019-12-31 19:04:04,КотоНеделя,720
24642,"Приют для кошек ""ЯрКот""",2019-12-31 19:04:04,"1 КотоДень",88
24642,Шереметьевский приют,2019-12-31 19:04:04,Порция вкуснейшего корма,140
24642,Убежище,2019-12-31 19:04:04,"1 КотоДень",118
24642,Убежище,2019-12-31 19:04:04,"1 КотоНеделя",937
24642,Котофей,2019-12-31 19:04:04,"1 КотоНеделя",723
24642,Котофей,2019-12-31 19:04:04,"1 КотоНеделя",723
24642,Добрые сердца,2019-12-31 19:04:04,КотоНеделя,958
24642,"4 лапы",2019-12-31 19:04:04,ПёсоДень,155
27587,Люськин дом,2019-12-31 19:30:57,"1 КотоДень",97
27294,Мокрый нос,2019-12-31 20:45:01,"1 ПёсоДень",145
27294,Люськин дом,2019-12-31 20:45:01,"1 КотоДень",97
27294,Центральный приют Спб для бездомных кошек!,2019-12-31 20:45:01,"1 КотоДень",98
27294,Лаюшки и Мяушки,2019-12-31 20:45:01,ПёсоДень,155
25531,"Приют для кошек ""ЯрКот""",2019-12-31 21:50:04,Порция вкуснейшего корма,34
25531,"Приют для кошек ""ЯрКот""",2019-12-31 21:50:04,"1 КотоНеделя",832
28160,"Кошачий приют ""ДОМИК""",2019-12-31 23:49:58,КотоДень,76
28160,"Кошачий приют ""ДОМИК""",2019-12-31 23:49:58, Новогодний КотоНабор,300
28160,"Кошачий приют ""ДОМИК""",2019-12-31 23:49:58,КотоДень,76
28160,Лёхин дом,2019-12-31 23:49:58,"1 КотоДень",116
28374,"Самарский приют для животных ""НадеждА""",2019-12-31 23:51:38, Новогодний КотоНабор,1250
28847,Люськин дом,2020-01-01 00:38:36,КотоНеделя,837
6297,"Самарский приют для животных ""НадеждА""",2020-01-01 00:48:44,"1 КотоНеделя",870
6297,"Самарский приют для животных ""НадеждА""",2020-01-01 00:48:44,"1 КотоНеделя",870
6297,Люськин дом,2020-01-01 00:48:44,КотоНеделя,837
28752,"Кошачий приют ""ДОМИК""",2020-01-01 08:10:47,КотоДень,76
28752,Убежище,2020-01-01 08:10:47,"1 КотоДень",118
28752,Люськин дом,2020-01-01 08:13:31,"1 КотоДень",97
27867,Мокрый нос,2020-01-01 08:13:40,"1 ПёсоДень",145
28889,Шереметьевский приют,2020-01-01 12:40:55,Порция вкуснейшего корма,140
28889,Мокрый нос,2020-01-01 12:44:50,"1 ПёсоДень",145
28889,Люськин дом,2020-01-01 13:48:20,"1 КотоДень",97
28889,Центральный приют Спб для бездомных кошек!,2020-01-01 13:51:38,"1 КотоДень",98
27249,Кот и Пёс,2020-01-01 13:57:01,КотоДень,94
27249,Люськин дом,2020-01-01 14:01:11,"1 КотоДень",97
28438,Мокрый нос,2020-01-01 14:27:14,"1 ПёсоДень",145
28438,Мокрый нос,2020-01-01 14:36:03,"1 ПёсоДень",145
28438,Мокрый нос,2020-01-01 14:42:37,"1 ПёсоДень",145
28412,Котофей,2020-01-01 14:43:23,"1 КотоДень",87
28896,Добрые сердца,2020-01-01 19:41:49,КотоДень,99
28947,Матроскин,2020-01-01 20:03:58,Новогодний КотоНабор,500
21963,"Самарский приют для животных ""НадеждА""",2020-01-01 20:30:50,Корм с курицей и рисом ,42
21963,"Кошачий приют ""ДОМИК""",2020-01-01 20:30:50,КотоДень,76
21963,"Кошачий приют ""ДОМИК""",2020-01-01 20:30:50,КотоДень,76
21963,"Кошачий приют ""ДОМИК""",2020-01-01 20:30:50,КотоДень,76
21963,"Кошачий приют ""ДОМИК""",2020-01-01 20:30:50,КотоДень,76
21963,Люськин дом,2020-01-01 20:30:50,Дневная порция вкуснейшего корма,51
21963,Лёхин дом,2020-01-01 20:30:50,Порция корма ,48
1692,Матроскин,2020-01-01 20:32:50,КотоДень,98
28948,"Кошачий приют ""ДОМИК""",2020-01-01 21:01:45, Новогодний КотоНабор,200
26966,Лаюшки и Мяушки,2020-01-01 22:03:02,ПёсоДень,155
26966,Люськин дом,2020-01-01 22:05:49,"1 КотоДень",97
26966,"Кошачий приют ""ДОМИК""",2020-01-01 22:08:06, Новогодний КотоНабор,100
26966,Шереметьевский приют,2020-01-01 22:10:16,Новогодний ПёсоНабор,100
26966,Убежище,2020-01-01 22:11:44,"1 КотоДень",118
28950,Центральный приют Спб для бездомных кошек!,2020-01-02 03:31:36,"1 КотоДень",98
28950,"Кошачий приют ""ДОМИК""",2020-01-02 03:33:09, Новогодний КотоНабор,70
27672,"Самарский приют для животных ""НадеждА""",2020-01-02 10:08:56,"1 КотоДень",105
27672,Кот и Пёс,2020-01-02 10:08:56,КотоДень,94
27672,Шереметьевский приют,2020-01-02 10:08:56,Порция вкуснейшего корма,140
27672,Лёхин дом,2020-01-02 10:08:56,"1 КотоДень",116
27672,"4 лапы",2020-01-02 10:08:56,ПёсоДень,155
2985,Матроскин,2020-01-02 11:14:46,КотоМесяц,3280
24515,"Самарский приют для животных ""НадеждА""",2020-01-02 14:06:15,"1 КотоДень",105
24515,"Самарский приют для животных ""НадеждА""",2020-01-02 14:06:15,Биохимический анализ крови,100
24515,"Самарский приют для животных ""НадеждА""",2020-01-02 14:06:15,Биохимический анализ крови,100
28476,ФлагманВет,2020-01-02 14:48:12,"1 КотоДень",97
28476,"Приют для кошек ""ЯрКот""",2020-01-02 14:48:12,"1 КотоДень",88
28476,Люськин дом,2020-01-02 14:53:51,"1 КотоДень",97
28476,Центральный приют Спб для бездомных кошек!,2020-01-02 14:53:51,"1 КотоДень",98
28951,Лёхин дом,2020-01-02 16:02:06,Порция корма ,48
28343,"Самарский приют для животных ""НадеждА""",2020-01-02 16:07:42,Биохимический анализ крови,829
28343,"Кошачий приют ""ДОМИК""",2020-01-02 16:07:42, Новогодний КотоНабор,680
28343,Добрые сердца,2020-01-02 16:07:42,Лечение расстройства желудка,1128
28343,Добрые сердца,2020-01-02 16:07:42,Защитить питомца от вирусов,2847
5181,"Самарский приют для животных ""НадеждА""",2020-01-02 17:49:48,"1 КотоДень",105
5181,Шереметьевский приют,2020-01-02 17:49:48,Новогодний ПёсоНабор,100
22220,"Самарский приют для животных ""НадеждА""",2020-01-02 17:51:42,Биохимический анализ крови,100
22220,"Самарский приют для животных ""НадеждА""",2020-01-02 17:51:42,Корм с курицей и рисом ,42
22220,"Самарский приют для животных ""НадеждА""",2020-01-02 17:51:42,Корм с курицей и рисом ,42
25666,"Самарский приют для животных ""НадеждА""",2020-01-02 17:54:47,Биохимический анализ крови,100
25666,Мокрый нос,2020-01-02 17:54:47,"1 ПёсоДень",145
25666,Мокрый нос,2020-01-02 17:54:47,"1 ПёсоДень",145
25666,Люськин дом,2020-01-02 17:54:47,"1 КотоДень",97
25666,Шереметьевский приют,2020-01-02 17:54:47,Порция вкуснейшего корма,140
25666,Шереметьевский приют,2020-01-02 17:54:47,Новогодний ПёсоНабор,150
25666,"4 лапы",2020-01-02 17:54:47,ПёсоДень,155
25666,Лаюшки и Мяушки,2020-01-02 17:54:47,ПёсоДень,155
28885,"Кошачий приют ""ДОМИК""",2020-01-02 18:18:46,Рекламировать питомца (пакет Mini),78
28952,"Самарский приют для животных ""НадеждА""",2020-01-02 19:52:48,"1 КотоДень",105
28730,Люськин дом,2020-01-02 20:46:51,"1 КотоДень",97
26802,Котофей,2020-01-02 20:59:14,"1 КотоДень",87
26802,Котофей,2020-01-02 20:59:14,Наполнитель для туалета,20
26802,Котофей,2020-01-02 21:04:13,"1 КотоДень",87
26802,Котофей,2020-01-02 21:04:13,Наполнитель для туалета,20
28953,Люськин дом,2020-01-02 21:46:56,"1 КотоДень",97
28953,"Самарский приют для животных ""НадеждА""",2020-01-02 21:49:23,Биохимический анализ крови,229
28953,"Самарский приют для животных ""НадеждА""",2020-01-02 22:03:18,Биохимический анализ крови,250
28953,"Самарский приют для животных ""НадеждА""",2020-01-02 22:03:18,Биохимический анализ крови,250
28953,Мокрый нос,2020-01-02 22:03:18,"1 ПёсоДень",145
27794,Центральный приют Спб для бездомных кошек!,2020-01-02 23:24:00,"1 КотоДень",98
27794,Убежище,2020-01-02 23:24:00,"1 КотоДень",118
28727,Лаюшки и Мяушки,2020-01-03 12:01:06,Новогодний ПёсоНабор,45
26342,"Кошачий приют ""ДОМИК""",2020-01-03 12:18:13,КотоДень,76
26342,"Кошачий приют ""ДОМИК""",2020-01-03 12:18:13, Новогодний КотоНабор,100
26342,Кот и Пёс,2020-01-03 12:18:13,КотоДень,94
26342,Кот и Пёс,2020-01-03 12:18:13,Наполнитель для туалета,20
26342,Лаюшки и Мяушки,2020-01-03 12:18:13,ПёсоДень,155
26342,Лаюшки и Мяушки,2020-01-03 12:18:13,Новогодний ПёсоНабор,100
5063,Лаюшки и Мяушки,2020-01-03 13:02:39,ПёсоДень,155
28954,Люськин дом,2020-01-03 15:20:17,"1 КотоДень",97
28954,"Самарский приют для животных ""НадеждА""",2020-01-03 15:30:06,"1 КотоДень",105
28954,"Самарский приют для животных ""НадеждА""",2020-01-03 15:30:06,Наполнитель для туалета,20
28954,"Самарский приют для животных ""НадеждА""",2020-01-03 15:30:06,Биохимический анализ крови,100
4261,Матроскин,2020-01-03 16:40:43,Избавить питомца от паразитов,50
28079,"Самарский приют для животных ""НадеждА""",2020-01-03 17:16:41,Корм с курицей и рисом ,42
28079,"4 лапы",2020-01-03 17:16:41,ПёсоДень,155
27012,"Приют для кошек ""ЯрКот""",2020-01-03 17:58:06,"1 КотоДень",88
27012,Убежище,2020-01-03 17:58:06,Дневная порция вкуснейшего корма,98
28956,"Самарский приют для животных ""НадеждА""",2020-01-03 18:36:16,Наполнитель для туалета,20
28957,Шереметьевский приют,2020-01-03 22:12:06,Новогодний ПёсоНабор,300
28957,Добрые сердца,2020-01-03 22:19:54,КотоДень,300
3020,"Самарский приют для животных ""НадеждА""",2020-01-03 22:34:21,Биохимический анализ крови,729
3020,"Самарский приют для животных ""НадеждА""",2020-01-03 22:34:21,Биохимический анализ крови,479
3020,"Самарский приют для животных ""НадеждА""",2020-01-03 22:34:21,Биохимический анализ крови,829
3020,"Самарский приют для животных ""НадеждА""",2020-01-03 22:34:21,Биохимический анализ крови,600
3020,Люськин дом,2020-01-03 22:34:21,"1 КотоДень",97
6163,"Самарский приют для животных ""НадеждА""",2020-01-04 00:53:21,Рекламировать питомца (пакет Mini),78
28827,"Кошачий приют ""ДОМИК""",2020-01-04 01:56:42,КотоДень,76
28827,"Кошачий приют ""ДОМИК""",2020-01-04 01:56:42,Наполнитель для туалета,20
28827,"Кошачий приют ""ДОМИК""",2020-01-04 01:56:42,Рекламировать питомца (пакет Mini),78
28827,Лёхин дом,2020-01-04 01:56:42,"1 КотоДень",116
28827,Лёхин дом,2020-01-04 01:56:42,"1 КотоДень",116
28827,Лёхин дом,2020-01-04 01:56:42,Рекламировать питомца (пакет Mini),78
28588,"Самарский приют для животных ""НадеждА""",2020-01-04 06:42:56,Биохимический анализ крови,729
28588,"Самарский приют для животных ""НадеждА""",2020-01-04 06:42:56,Биохимический анализ крови,200
28588,"Самарский приют для животных ""НадеждА""",2020-01-04 06:42:56,Биохимический анализ крови,579
28588,"Самарский приют для животных ""НадеждА""",2020-01-04 06:42:56,Биохимический анализ крови,829
28588,"Самарский приют для животных ""НадеждА""",2020-01-04 06:42:56,Биохимический анализ крови,829
28588,Люськин дом,2020-01-04 06:42:56,"1 КотоДень",97
28588,Добрые сердца,2020-01-04 06:42:56,КотоДень,700
28588,Добрые сердца,2020-01-04 06:42:56,КотоДень,300
28588,"Самарский приют для животных ""НадеждА""",2020-01-04 06:47:28,Биохимический анализ крови,629
28588,"Самарский приют для животных ""НадеждА""",2020-01-04 06:47:28,Биохимический анализ крови,729
28588,"Самарский приют для животных ""НадеждА""",2020-01-04 06:47:28,Биохимический анализ крови,729
28588,Центральный приют Спб для бездомных кошек!,2020-01-04 06:47:28,"1 КотоДень",98
28588,Лёхин дом,2020-01-04 06:47:28,Стерилизация,100
28727,Люськин дом,2020-01-04 12:27:51,Дневная порция вкуснейшего корма,51
28727,"Самарский приют для животных ""НадеждА""",2020-01-04 14:29:54,Наполнитель для туалета,20
28412,Матроскин,2020-01-04 14:51:23,Порция вкуснейшего корма,39
28412,Котофей,2020-01-04 14:51:23,"1 КотоДень",87
22220,Матроскин,2020-01-04 17:50:51,Порция вкуснейшего корма,39
22220,Матроскин,2020-01-04 17:50:51,Избавить питомца от паразитов,50
27285,Матроскин,2020-01-04 18:24:36,КотоДень,98
27285,Лёхин дом,2020-01-04 18:24:36,"1 КотоДень",116
27285,Убежище,2020-01-04 18:24:36,"1 КотоДень",118
27285,Убежище,2020-01-04 18:24:36,"1 КотоДень",118
27285,Котофей,2020-01-04 18:24:36,"1 КотоДень",87
28958,Матроскин,2020-01-04 20:14:07,Избавить питомца от паразитов,50
28958,Матроскин,2020-01-04 20:14:07,Противовирусная сыворотка,100
28958,Центральный приют Спб для бездомных кошек!,2020-01-04 20:14:07,Рекламировать питомца (пакет Standart),155
28889,Мокрый нос,2020-01-05 10:14:40,"1 ПёсоДень",145
28889,Матроскин,2020-01-05 10:26:06,Порция вкуснейшего корма,39
28889,Шереметьевский приют,2020-01-05 10:26:06,Порция вкуснейшего корма,140
28889,Лёхин дом,2020-01-05 10:26:06,Порция корма ,48
25154,Матроскин,2020-01-05 12:22:07,Избавить питомца от паразитов,166
25154,Матроскин,2020-01-05 12:22:07,Противовирусная сыворотка,807
25154,Матроскин,2020-01-05 12:22:07,Стерилизация,2346
25154,Мокрый нос,2020-01-05 12:22:07,"1 ПёсоНеделя",887
25154,Центральный приют Спб для бездомных кошек!,2020-01-05 12:22:07,"1 КотоНеделя",870
25154,Шереметьевский приют,2020-01-05 12:22:07,ПёсоНеделя,1950
25154,Шереметьевский приют,2020-01-05 12:22:07,ПёсоНеделя,1950
25154,Лёхин дом,2020-01-05 12:22:07,Стерилизация,1464
25154,Лёхин дом,2020-01-05 12:22:07,Кастрация питомца,682
25154,Лёхин дом,2020-01-05 12:22:07,Избавить питомца от глистов,117
25154,Лёхин дом,2020-01-05 12:22:07,Избавить питомца от блох,469
25154,"4 лапы",2020-01-05 12:22:07,ПёсоНеделя,860
25154,Лаюшки и Мяушки,2020-01-05 12:22:07,ПёсоНеделя,800
25154,Люськин дом,2020-01-05 12:39:26,"1 КотоДень",97
25154,Лёхин дом,2020-01-05 12:39:26,"1 КотоДень",116
27894,Мокрый нос,2020-01-05 13:58:27,"1 ПёсоДень",145
28039,"Самарский приют для животных ""НадеждА""",2020-01-05 15:54:38,Корм с курицей и рисом ,42
28039,"Кошачий приют ""ДОМИК""",2020-01-05 15:54:38,КотоДень,76
28039,Кот и Пёс,2020-01-05 15:54:38,ПёсоДень,155
28039,Шереметьевский приют,2020-01-05 15:54:38,Порция вкуснейшего корма,140
28039,Добрые сердца,2020-01-05 15:54:38,Порция вкуснейшего корма,36
22220,"Самарский приют для животных ""НадеждА""",2020-01-05 17:54:10,Корм с курицей и рисом ,42
22220,Добрые сердца,2020-01-05 17:54:10,Профилактическое обследование,50
28405,"Самарский приют для животных ""НадеждА""",2020-01-05 19:50:53,Прививка от бешенства,188
28405,"Самарский приют для животных ""НадеждА""",2020-01-05 19:50:53,Защитить питомца от вирусов (Фелиген),400
26977,"Самарский приют для животных ""НадеждА""",2020-01-05 21:26:14,Вылечить от цистита,726
26977,"Самарский приют для животных ""НадеждА""",2020-01-05 21:26:14,"1 КотоНеделя",870
26977,"Самарский приют для животных ""НадеждА""",2020-01-05 21:26:14,Избавить питомца от глистов,626
26977,"Самарский приют для животных ""НадеждА""",2020-01-05 21:26:14,Избавить питомца от глистов,626
26977,"Самарский приют для животных ""НадеждА""",2020-01-05 21:26:14,Профилактическое обследование,829
26977,"Самарский приют для животных ""НадеждА""",2020-01-05 21:26:14,Защитить питомца от вирусов (Фелиген),343
26977,Добрые сердца,2020-01-05 21:26:14,Профилактическое обследование,998
28958,"Самарский приют для животных ""НадеждА""",2020-01-05 21:27:38,Корм с курицей и рисом ,42
27376,"Самарский приют для животных ""НадеждА""",2020-01-05 22:48:39,"1 КотоДень",105
27376,"Самарский приют для животных ""НадеждА""",2020-01-05 22:48:39,"1 КотоДень",105
27376,"Кошачий приют ""ДОМИК""",2020-01-05 22:48:39,КотоДень,76
27376,"Кошачий приют ""ДОМИК""",2020-01-05 22:48:39,КотоДень,76
27376,Кот и Пёс,2020-01-05 22:48:39,КотоДень,94
27376,Кот и Пёс,2020-01-05 22:48:39,ПёсоНеделя,800
27376,Лёхин дом,2020-01-05 22:48:39,"1 КотоДень",116
27376,Убежище,2020-01-05 22:48:39,"1 КотоДень",118
27376,Убежище,2020-01-05 22:48:39,"1 КотоДень",118
27376,Котофей,2020-01-05 22:48:39,"1 КотоДень",87
27376,Котофей,2020-01-05 22:48:39,Рекламировать питомца (пакет Maxi),265
27376,Добрые сердца,2020-01-05 22:48:39,КотоДень,99
28792,"Самарский приют для животных ""НадеждА""",2020-01-05 23:47:23,Ошейник с адресником,156
28792,"Самарский приют для животных ""НадеждА""",2020-01-05 23:47:23,Избавить питомца от блох,547
28792,"Самарский приют для животных ""НадеждА""",2020-01-05 23:47:23,Успокаивающий ошейник с феромонами ,347
28792,"Самарский приют для животных ""НадеждА""",2020-01-05 23:47:23,Ошейник с адресником,156
28792,"Самарский приют для животных ""НадеждА""",2020-01-05 23:47:23,Избавить питомца от блох,547
